Name,Position,NFL_Team,Consensus_Rank,Consensus_Pos_Rank,ESPN_Rank,ESPN_Pos_Rank,ADP,Bye_Week,Depth_Level,Injury_Status,Projection,Tier
Ja'Marr Chase,WR,CIN,1,1,4,1,3.0,6,Starter,Healthy,,1
Jahmyr Gibbs,RB,DET,2,1,2,2,1.0,6,Starter,Healthy,,1
Puka Nacua,WR,LAR,3,2,5,2,4.0,11,Starter,"Groin soreness — team not concerned, expected Wk1",,1
Bijan Robinson,RB,ATL,4,2,1,1,2.0,11,Starter,Healthy,,1
Jaxon Smith-Njigba,WR,SEA,5,3,6,3,6.0,11,Starter,Healthy,,1
Amon-Ra St. Brown,WR,DET,6,4,9,4,8.0,6,Starter,Healthy,,1
CeeDee Lamb,WR,DAL,7,5,13,6,11.0,14,Starter,Healthy,,2
Justin Jefferson,WR,MIN,8,6,12,5,12.0,6,Starter,Healthy,,2
Christian McCaffrey,RB,SF,9,3,3,3,5.0,8,Starter,"Tightness/soreness — missed practice, DNP preseason Wk1; not on IR, expected Wk1 (2024 precedent: same → IR → Wk10)",,2
Jonathan Taylor,RB,IND,10,4,7,4,7.0,13,Starter,Healthy,,2
Drake London,WR,ATL,11,7,17,7,19.0,11,Starter,Questionable,,2
A.J. Brown,WR,NE,12,8,26,10,20.0,11,Starter,Healthy,,3
Nico Collins,WR,HOU,13,9,39,15,25.0,8,Starter,Healthy,,3
James Cook III,RB,BUF,14,5,10,6,9.0,7,Starter,Healthy,,3
Brock Bowers,TE,LV,15,1,16,1,22.0,13,Starter,Healthy,,1
Chase Brown,RB,CIN,16,6,14,8,15.0,6,Starter,Healthy,,3
Chris Olave,WR,NO,17,10,27,11,27.0,8,Starter,Healthy,,3
George Pickens,WR,DAL,18,11,29,12,24.0,14,Backup,Healthy,,3
De'Von Achane,RB,MIA,19,7,8,5,10.0,6,Starter,Questionable,,3
Trey McBride,TE,ARI,20,2,18,2,21.0,14,Starter,Healthy,,1
Rashee Rice,WR,KC,21,12,19,8,26.0,5,Starter,"Healthy — NO 2026 suspension (ban served 2025); full 11-on-11 since 8/05, DNP preseason Wk1 = vet rest",,3
DeVonta Smith,WR,PHI,22,13,43,18,34.0,10,Starter,Hamstring — DNP preseason Wk1 (warmed up),,4
Saquon Barkley,RB,PHI,23,8,21,11,14.0,10,Starter,Healthy,,4
Malik Nabers,WR,NYG,24,14,25,9,29.0,8,Starter,Questionable,,4
Omarion Hampton,RB,LAC,25,9,23,13,18.0,7,Starter,Healthy,,4
Josh Allen,QB,BUF,26,1,28,1,23.0,7,Starter,Healthy,,1
Kenneth Walker III,RB,KC,27,10,15,9,17.0,5,Starter,Healthy,,4
Ashton Jeanty,RB,LV,28,11,24,14,13.0,13,Starter,Questionable (sprained ankle 8/23; timeline unclear, no long-term damage per RJ 8/24),,4
Garrett Wilson,WR,NYJ,29,15,34,14,40.0,13,Starter,Healthy,,4
Zay Flowers,WR,BAL,30,16,41,16,35.0,13,Starter,"Quad — returned to team drills 8/13, DNP the game (resolving)",,4
Lamar Jackson,QB,BAL,31,2,36,2,41.0,13,Starter,Healthy,,1
Tetairoa McMillan,WR,CAR,32,17,42,17,37.0,5,Starter,Healthy,,4
Ladd McConkey,WR,LAC,33,18,51,21,44.0,7,Starter,Questionable,,4
Jaylen Waddle,WR,DEN,34,19,44,19,48.0,10,Starter,Leg/muscle tightness — still not practicing as of 8/13 (part of DEN soft-tissue cluster),,4
Tee Higgins,WR,CIN,35,20,57,22,42.0,6,Backup,Healthy,,5
Derrick Henry,RB,BAL,36,12,11,7,16.0,13,Starter,Healthy,,5
Colston Loveland,TE,CHI,37,3,35,3,43.0,10,Starter,Healthy,,2
Drake Maye,QB,NE,38,3,48,4,53.0,11,Starter,Healthy,,2
Breece Hall,RB,NYJ,39,13,31,16,33.0,13,Starter,"Questionable — right groin strain suffered 8/17 practice; HC Aaron Glenn: on track to play Week 1 vs Titans (TWSN/SleeperNFL, pub 2026-08-24)",,5
Emeka Egbuka,WR,TB,40,21,33,13,39.0,10,Starter,"Toe sprain — day-to-day, DNP preseason Wk1",,5
Jeremiyah Love,RB,ARI,41,14,20,10,28.0,14,Starter,"Ankle (tweaked preseason Wk1 8/13) — OUT preseason Wk2, no timetable, reassess week of 8/24",,5
Kyren Williams,RB,LAR,42,15,32,17,30.0,11,Starter,Healthy,,5
